
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
81	Marquess Wilson	CHI	  at  KC	60	88	75	7.6904393335399		
82	Stefon Diggs	MIN	  	61	85	73.666666666667	9.8432153734889		
83	Aaron Dobson	NE	  at  DAL	62	81	73.5	7.2284161474005		
84	Devin Smith	NYJ	  	64	122	90.75	20.704769981818		
85	Harry Douglas	TEN	  vs.  BUF	65	84	74.5	9.5		
86	Kenny Britt	STL	  at  GB	65	82	71.5	6.6017674401128		
87	Phillip Dorsett	IND	  at  HOU	66	89	73.333333333333	7.3409051818484		
88	Dwayne Bowe	CLE	  at  BAL	67	115	82.8	19.782820830205		
89	Cody Latimer	DEN	  at  OAK	68	83	75.4	6.4992307237088		
90	Jerricho Cotchery	CAR	  	70	113	86.8	15.354478174135		
91	Kevin White	CHI	  at  KC	70	107	87	11.983321743156		
92	Brenton Bersin	CAR	  	70	81	75.5	5.5		
93	Malcom Floyd	SD	  vs.  PIT	71	90	78.166666666667	7.0808819287493		
94	Tyler Lockett	SEA	  at  CIN	72	89	78.833333333333	7.0099136149377		
95	Andre Caldwell	DEN	  at  OAK	75	96	85.5	10.5		
96	Brian Hartline	CLE	  at  BAL	76	96	84.8	7.5206382707853		
97	Marlon Brown	BAL	  vs.  CLE	78	95	86.5	8.5		
98	Marqise Lee	JAC	  at  TB	78	84	81	2.2803508501983		
99	Nate Washington	HOU	  vs.  IND	80	95	87.5	7.5		
100	Stedman Bailey	STL	  at  GB	80	85	81.25	2.1650635094611		
101	Jeff Janis	GB	  vs.  STL	81	110	90.2	10.628264204469		
102	Chris Conley	KC	  vs.  CHI	83	111	97	14		
103	Reggie Wayne	FA		83	92	87.5	4.5		
104	Andrew Hawkins	CLE	  at  BAL	84	99	88.75	6.015604707758		
105	Jordan Norwood	DEN	  at  OAK	87	90	88.5	1.5		
106	Greg Jennings	MIA	  	88	91	89.25	1.2990381056767		
107	Cordarrelle Patterson	MIN	  	91	91	91	0		
108	Justin Hunter	TEN	  vs.  BUF	93	93	93	0		
109	Albert Wilson	KC	  vs.  CHI	98	98	98	0		
110	Robert Woods	BUF	  at  TEN	100	100	100	0		
111	Jarius Wright	MIN	  	101	101	101	0		
112	Riley Cooper	PHI	  vs.  NO	102	102	102	0		
113	Josh Huff	PHI	  vs.  NO	103	103	103	0		
114	Taylor Gabriel	CLE	  at  BAL	104	104	104	0		
115	Darrius Heyward-Bey	PIT	  at  SD	105	105	105	0		
116	Chris Givens	BAL	  vs.  CLE	106	106	106	0		
117	Louis Murphy	TB	  vs.  JAC	108	108	108	0		
118	Chris Matthews	SEA	  at  CIN	109	109	109	0		
119	Ryan Grant	WAS	  at  ATL	112	112	112	0		
120	Seth Roberts	OAK	  vs.  DEN	114	114	114	0		
121	Jaron Brown	ARI	  at  DET	116	116	116	0		
122	Andre Roberts	WAS	  at  ATL	117	117	117	0		
123	Rod Streater	OAK	  vs.  DEN	118	118	118	0		
124	Sammie Coates	PIT	  at  SD	119	119	119	0		
125	Miles Austin	PHI	  vs.  NO	120	120	120	0		
126	Ricardo Lockette	SEA	  at  CIN	121	121	121	0		
127	Jeremy Kerley	NYJ	  	123	123	123	0		
128	Devin Hester	ATL	  vs.  WAS	125	125	125	0		
129	Justin Hardy	ATL	  vs.  WAS	126	126	126	0		
130	Jason Avant	KC	  vs.  CHI	127	127	127	0		
131	Quinton Patton	SF	  at  NYG	128	128	128	0		
132	Lance Moore	DET	  vs.  ARI	129	129	129	0		
133	Devin Street	DAL	  vs.  NE	130	130	130	0		
134	De'Anthony Thomas	KC	  vs.  CHI	131	131	131	0		
135	Brandon Tate	CIN	  vs.  SEA	132	132	132	0		
136	Kevin Norwood	CAR	  	133	133	133	0		
137	Corey Fuller	DET	  vs.  ARI	134	134	134	0		
138	Dontrelle Inman	SD	  vs.  PIT	135	135	135	0		
139	Andre Holmes	OAK	  vs.  DEN	136	136	136	0		
140	Brice Butler	DAL	  vs.  NE	137	137	137	0		
141	Dwayne Harris	NYG	  vs.  SF	138	138	138	0		
142	Chris Owusu	NYJ	  	139	139	139	0		
143	Bruce Ellington	SF	  at  NYG	140	140	140	0		
