
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
81	Stefon Diggs	MIN	  	61	87	74.666666666667	10.656244908764		
82	Malcom Floyd	SD	  vs.  PIT	62	90	72.285714285714	9.1918331097974		
83	Danny Amendola	NE	  at  DAL	62	78	68	5.408326913196		
84	Devin Smith	NYJ	  	64	121	89	20.820662813657		
85	Kenny Britt	STL	  at  GB	64	81	70.428571428571	6.3438866603356		
86	Dwayne Bowe	CLE	  at  BAL	67	115	83.8	19.124852940611		
87	Tyler Lockett	SEA	  at  CIN	67	85	74.571428571429	5.5254513159468		
88	Cody Latimer	DEN	  at  OAK	68	86	75.2	6.9971422738144		
89	Phillip Dorsett	IND	  at  HOU	68	84	72.142857142857	5.3030603409345		
90	Brenton Bersin	CAR	  	70	87	78.5	8.5		
91	Kevin White	CHI	  at  KC	71	108	87.2	12.416118556135		
92	Harry Douglas	TEN	  vs.  BUF	71	89	80	9		
93	Jerricho Cotchery	CAR	  	73	116	88.4	15.564061166675		
94	Aaron Dobson	NE	  at  DAL	73	90	79.25	7.0133800695528		
95	Brian Hartline	CLE	  at  BAL	75	97	83.8	8.6348132579692		
96	Jordan Norwood	DEN	  at  OAK	76	83	79.5	3.5		
97	Jeff Janis	GB	  vs.  STL	77	114	88.8	13.614697940094		
98	Nate Washington	HOU	  vs.  IND	78	95	86.5	8.5		
99	Marlon Brown	BAL	  vs.  CLE	78	95	86.5	8.5		
100	Andre Caldwell	DEN	  at  OAK	79	96	87.5	8.5		
101	Stedman Bailey	STL	  at  GB	81	87	83	2.4494897427832		
102	Marqise Lee	JAC	  at  TB	83	88	86.4	1.8547236990991		
103	Andrew Hawkins	CLE	  at  BAL	84	99	88.5	6.1846584384265		
104	Chris Conley	KC	  vs.  CHI	85	112	98.5	13.5		
105	Reggie Wayne	FA		85	92	88.5	3.5		
106	Greg Jennings	MIA	  	88	91	89.25	1.0897247358852		
107	Cordarrelle Patterson	MIN	  	91	91	91	0		
108	Justin Hunter	TEN	  vs.  BUF	92	92	92	0		
109	Albert Wilson	KC	  vs.  CHI	98	98	98	0		
110	Robert Woods	BUF	  at  TEN	100	100	100	0		
111	Seth Roberts	OAK	  vs.  DEN	101	101	101	0		
112	Jarius Wright	MIN	  	102	102	102	0		
113	Riley Cooper	PHI	  vs.  NO	103	103	103	0		
114	Taylor Gabriel	CLE	  at  BAL	104	104	104	0		
115	Josh Huff	PHI	  vs.  NO	105	105	105	0		
116	Darrius Heyward-Bey	PIT	  at  SD	106	106	106	0		
117	Chris Givens	BAL	  vs.  CLE	107	107	107	0		
118	Chris Matthews	SEA	  at  CIN	109	109	109	0		
119	Louis Murphy	TB	  vs.  JAC	110	110	110	0		
120	Ryan Grant	WAS	  at  ATL	111	111	111	0		
121	Jaron Brown	ARI	  at  DET	113	113	113	0		
122	Rod Streater	OAK	  vs.  DEN	117	117	117	0		
123	Andre Roberts	WAS	  at  ATL	118	118	118	0		
124	Sammie Coates	PIT	  at  SD	119	119	119	0		
125	Miles Austin	PHI	  vs.  NO	120	120	120	0		
126	Ricardo Lockette	SEA	  at  CIN	122	122	122	0		
127	Jeremy Kerley	NYJ	  	123	123	123	0		
128	Justin Hardy	ATL	  vs.  WAS	124	124	124	0		
129	Devin Hester	ATL	  vs.  WAS	126	126	126	0		
130	Lance Moore	DET	  vs.  ARI	127	127	127	0		
131	Quinton Patton	SF	  at  NYG	128	128	128	0		
132	Jason Avant	KC	  vs.  CHI	129	129	129	0		
133	Devin Street	DAL	  vs.  NE	130	130	130	0		
134	De'Anthony Thomas	KC	  vs.  CHI	131	131	131	0		
135	Kevin Norwood	CAR	  	132	132	132	0		
136	Brandon Tate	CIN	  vs.  SEA	133	133	133	0		
137	Corey Fuller	DET	  vs.  ARI	134	134	134	0		
138	Andre Holmes	OAK	  vs.  DEN	135	135	135	0		
139	Dontrelle Inman	SD	  vs.  PIT	136	136	136	0		
140	Brice Butler	DAL	  vs.  NE	137	137	137	0		
141	Dwayne Harris	NYG	  vs.  SF	138	138	138	0		
142	Bruce Ellington	SF	  at  NYG	139	139	139	0		
143	Chris Owusu	NYJ	  	140	140	140	0		
