
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
80	Robert Turbin	CLE	  at  BAL	65	65	65	0		
81	James White	NE	  at  DAL	66	93	79	10.825894882179		
82	Brandon Bolden	NE	  at  DAL	66	76	71	5		
83	Mike Tolbert	CAR	  	67	92	81.5	9.394147114028		
84	Ahmad Bradshaw	FA		67	67	67	0		
85	Jeremy Langford	CHI	  at  KC	68	76	72.666666666667	3.3993463423952		
86	Charcandrick West	KC	  vs.  CHI	70	84	75	6.3770421565697		
87	Branden Oliver	SD	  vs.  PIT	70	82	75.6	4.8414873747641		
88	Jay Ajayi	MIA	  	72	98	85	13		
89	Stevan Ridley	NYJ	  	73	91	83	7.4833147735479		
90	David Cobb	TEN	  vs.  BUF	73	90	81.333333333333	6.9442222186666		
91	Zach Zenner	DET	  vs.  ARI	75	93	83.333333333333	7.4087035902976		
92	Jonathan Grimes	HOU	  vs.  IND	76	91	84.333333333333	6.2360956446232		
93	Zac Stacy	NYJ	  	78	85	81.666666666667	2.8674417556809		
94	Toby Gerhart	JAC	  at  TB	80	90	86.333333333333	4.4969125210773		
95	Juwan Thompson	DEN	  at  OAK	83	83	83	0		
96	Matt Asiata	MIN	  	84	86	85	1		
97	Mike Davis	SF	  at  NYG	84	86	85	1		
98	Bernard Pierce	JAC	  at  TB	85	85	85	0		
99	Jonas Gray	MIA	  	87	96	91.5	4.5		
100	Bobby Rainey	TB	  vs.  JAC	87	87	87	0		
101	Tyler Varga	IND	  at  HOU	88	88	88	0		
102	Taiwan Jones	OAK	  vs.  DEN	92	92	92	0		
103	Jarryd Hayne	SF	  at  NYG	94	101	97.5	3.5		
104	Jordan Todman	PIT	  at  SD	94	94	94	0		
105	Dri Archer	PIT	  at  SD	99	99	99	0		
106	Ka'Deem Carey	CHI	  at  KC	102	102	102	0		
107	Terron Ward	ATL	  vs.  WAS	103	103	103	0		
108	Stepfan Taylor	ARI	  at  DET	104	104	104	0		
109	Fozzy Whittaker	CAR	  	105	105	105	0		
110	Montee Ball	FA		106	106	106	0		
