
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
84	Dwayne Bowe	CLE	  at  BAL	67	115	86.75	20.277758751894		
85	Cody Latimer	DEN	  at  OAK	68	83	77.25	5.9739015726743		
86	Kevin White	CHI	  at  KC	70	107	88.25	13.102957681379		
87	Brenton Bersin	CAR	  	70	81	75.5	5.5		
88	Malcom Floyd	SD	  vs.  PIT	71	85	77	5.0990195135928		
89	Phillip Dorsett	IND	  at  HOU	72	89	76.25	7.3612159321677		
90	Tyler Lockett	SEA	  at  CIN	73	88	78	5.9581876439065		
91	Jerricho Cotchery	CAR	  	74	113	91	14.3701078632		
92	Philly Brown	CAR	  	74	94	82.75	7.8541390362025		
93	Andre Caldwell	DEN	  at  OAK	75	96	85.5	10.5		
94	Marlon Brown	BAL	  vs.  CLE	78	95	86.5	8.5		
95	Brian Hartline	CLE	  at  BAL	79	96	87	6.8190908484929		
96	Stedman Bailey	STL	  at  GB	80	85	81.666666666667	2.3570226039552		
97	Marqise Lee	JAC	  at  TB	81	84	82.666666666667	1.2472191289246		
98	Jeff Janis	GB	  vs.  STL	82	110	92.5	10.712142642814		
99	Reggie Wayne	FA		83	92	87.5	4.5		
100	Andrew Hawkins	CLE	  at  BAL	85	99	90.333333333333	6.1824123303305		
101	Jordan Norwood	DEN	  at  OAK	87	90	88.5	1.5		
102	Greg Jennings	MIA	  	88	91	89.666666666667	1.2472191289246		
103	Jaelen Strong	HOU	  vs.  IND	89	94	92	2.1602468994693		
104	Cordarrelle Patterson	MIN	  	91	91	91	0		
105	Justin Hunter	TEN	  vs.  BUF	93	93	93	0		
106	Nate Washington	HOU	  vs.  IND	95	95	95	0		
107	Mohamed Sanu	CIN	  vs.  SEA	97	97	97	0		
108	Albert Wilson	KC	  vs.  CHI	98	98	98	0		
109	Robert Woods	BUF	  at  TEN	100	100	100	0		
110	Jarius Wright	MIN	  	101	101	101	0		
111	Riley Cooper	PHI	  vs.  NO	102	102	102	0		
112	Josh Huff	PHI	  vs.  NO	103	103	103	0		
113	Taylor Gabriel	CLE	  at  BAL	104	104	104	0		
114	Darrius Heyward-Bey	PIT	  at  SD	105	105	105	0		
115	Chris Givens	BAL	  vs.  CLE	106	106	106	0		
116	Louis Murphy	TB	  vs.  JAC	108	108	108	0		
117	Chris Matthews	SEA	  at  CIN	109	109	109	0		
118	Chris Conley	KC	  vs.  CHI	111	111	111	0		
119	Ryan Grant	WAS	  at  ATL	112	112	112	0		
120	Seth Roberts	OAK	  vs.  DEN	114	114	114	0		
121	Jaron Brown	ARI	  at  DET	116	116	116	0		
122	Andre Roberts	WAS	  at  ATL	117	117	117	0		
123	Rod Streater	OAK	  vs.  DEN	118	118	118	0		
124	Sammie Coates	PIT	  at  SD	119	119	119	0		
125	Miles Austin	PHI	  vs.  NO	120	120	120	0		
126	Ricardo Lockette	SEA	  at  CIN	121	121	121	0		
127	Jeremy Kerley	NYJ	  	123	123	123	0		
128	Devin Hester	ATL	  vs.  WAS	125	125	125	0		
129	Justin Hardy	ATL	  vs.  WAS	126	126	126	0		
130	Jason Avant	KC	  vs.  CHI	127	127	127	0		
131	Quinton Patton	SF	  at  NYG	128	128	128	0		
132	Lance Moore	DET	  vs.  ARI	129	129	129	0		
133	Devin Street	DAL	  vs.  NE	130	130	130	0		
134	De'Anthony Thomas	KC	  vs.  CHI	131	131	131	0		
135	Brandon Tate	CIN	  vs.  SEA	132	132	132	0		
136	Kevin Norwood	CAR	  	133	133	133	0		
137	Corey Fuller	DET	  vs.  ARI	134	134	134	0		
138	Dontrelle Inman	SD	  vs.  PIT	135	135	135	0		
139	Andre Holmes	OAK	  vs.  DEN	136	136	136	0		
140	Brice Butler	DAL	  vs.  NE	137	137	137	0		
141	Dwayne Harris	NYG	  vs.  SF	138	138	138	0		
142	Chris Owusu	NYJ	  	139	139	139	0		
143	Bruce Ellington	SF	  at  NYG	140	140	140	0		
