
FantasyPros.com 	 
Week 5 - WR Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
80	Devin Smith	NYJ	  	64	121	88.333333333333	24.004629183185		
81	Kenny Britt	STL	  at  GB	64	81	70.4	6.280127387243		
82	Cole Beasley	DAL	  vs.  NE	66	82	74.333333333333	5.3124591501697		
83	Dwayne Bowe	CLE	  at  BAL	67	115	88	19.209372712299		
84	Tyler Lockett	SEA	  at  CIN	67	85	74.6	5.8855755878249		
85	Cody Latimer	DEN	  at  OAK	68	86	77	6.7082039324994		
86	Phillip Dorsett	IND	  at  HOU	68	84	73	6.0332412515993		
87	Brenton Bersin	CAR	  	70	87	78.5	8.5		
88	Kevin White	CHI	  at  KC	71	108	89.25	13.102957681379		
89	Harry Douglas	TEN	  vs.  BUF	71	89	80	9		
90	Aaron Dobson	NE	  at  DAL	73	90	81.333333333333	6.9442222186666		
91	Jerricho Cotchery	CAR	  	75	116	92.25	15.122417134837		
92	Philly Brown	CAR	  	76	94	82.4	6.3749509802037		
93	Jordan Norwood	DEN	  at  OAK	76	83	79.5	3.5		
94	Brian Hartline	CLE	  at  BAL	77	97	86	8.3066238629181		
95	Marlon Brown	BAL	  vs.  CLE	78	95	86.5	8.5		
96	Jeff Janis	GB	  vs.  STL	79	114	91.75	13.718144918319		
97	Andre Caldwell	DEN	  at  OAK	79	96	87.5	8.5		
98	Stedman Bailey	STL	  at  GB	81	87	83.666666666667	2.4944382578493		
99	Andrew Hawkins	CLE	  at  BAL	84	99	90	6.4807406984079		
100	Reggie Wayne	FA		85	92	88.5	3.5		
101	Marqise Lee	JAC	  at  TB	87	88	87.666666666667	0.47140452079103		
102	Greg Jennings	MIA	  	89	91	89.666666666667	0.94280904158206		
103	Jaelen Strong	HOU	  vs.  IND	90	94	92.333333333333	1.6996731711976		
104	Cordarrelle Patterson	MIN	  	91	91	91	0		
105	Justin Hunter	TEN	  vs.  BUF	92	92	92	0		
106	Nate Washington	HOU	  vs.  IND	95	95	95	0		
107	Mohamed Sanu	CIN	  vs.  SEA	96	96	96	0		
108	Albert Wilson	KC	  vs.  CHI	98	98	98	0		
109	Robert Woods	BUF	  at  TEN	100	100	100	0		
110	Seth Roberts	OAK	  vs.  DEN	101	101	101	0		
111	Jarius Wright	MIN	  	102	102	102	0		
112	Riley Cooper	PHI	  vs.  NO	103	103	103	0		
113	Taylor Gabriel	CLE	  at  BAL	104	104	104	0		
114	Josh Huff	PHI	  vs.  NO	105	105	105	0		
115	Darrius Heyward-Bey	PIT	  at  SD	106	106	106	0		
116	Chris Givens	BAL	  vs.  CLE	107	107	107	0		
117	Chris Matthews	SEA	  at  CIN	109	109	109	0		
118	Louis Murphy	TB	  vs.  JAC	110	110	110	0		
119	Ryan Grant	WAS	  at  ATL	111	111	111	0		
120	Chris Conley	KC	  vs.  CHI	112	112	112	0		
121	Jaron Brown	ARI	  at  DET	113	113	113	0		
122	Rod Streater	OAK	  vs.  DEN	117	117	117	0		
123	Andre Roberts	WAS	  at  ATL	118	118	118	0		
124	Sammie Coates	PIT	  at  SD	119	119	119	0		
125	Miles Austin	PHI	  vs.  NO	120	120	120	0		
126	Ricardo Lockette	SEA	  at  CIN	122	122	122	0		
127	Jeremy Kerley	NYJ	  	123	123	123	0		
128	Justin Hardy	ATL	  vs.  WAS	124	124	124	0		
129	Devin Hester	ATL	  vs.  WAS	126	126	126	0		
130	Lance Moore	DET	  vs.  ARI	127	127	127	0		
131	Quinton Patton	SF	  at  NYG	128	128	128	0		
132	Jason Avant	KC	  vs.  CHI	129	129	129	0		
133	Devin Street	DAL	  vs.  NE	130	130	130	0		
134	De'Anthony Thomas	KC	  vs.  CHI	131	131	131	0		
135	Kevin Norwood	CAR	  	132	132	132	0		
136	Brandon Tate	CIN	  vs.  SEA	133	133	133	0		
137	Corey Fuller	DET	  vs.  ARI	134	134	134	0		
138	Andre Holmes	OAK	  vs.  DEN	135	135	135	0		
139	Dontrelle Inman	SD	  vs.  PIT	136	136	136	0		
140	Brice Butler	DAL	  vs.  NE	137	137	137	0		
141	Dwayne Harris	NYG	  vs.  SF	138	138	138	0		
142	Bruce Ellington	SF	  at  NYG	139	139	139	0		
143	Chris Owusu	NYJ	  	140	140	140	0		
