
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
83	Mike Tolbert	CAR	  	68	90	81.25	8.466847110938		
84	Chris Polk	HOU	  vs.  IND	68	80	73.4	4.5869379764719		
85	Branden Oliver	SD	  vs.  PIT	69	82	76.75	4.8153400710646		
86	Jeremy Langford	CHI	  at  KC	72	76	74	1.6329931618555		
87	David Cobb	TEN	  vs.  BUF	73	89	81	6.5319726474218		
88	Jonathan Grimes	HOU	  vs.  IND	74	91	83.666666666667	7.1336448530109		
89	Zach Zenner	DET	  vs.  ARI	75	95	84	8.286535263104		
90	Toby Gerhart	JAC	  at  TB	79	90	86	4.9665548085838		
91	Zac Stacy	NYJ	  	81	85	82.666666666667	1.6996731711976		
92	Juwan Thompson	DEN	  at  OAK	83	83	83	0		
93	Matt Asiata	MIN	  	84	86	85	1		
94	Mike Davis	SF	  at  NYG	84	85	84.5	0.5		
95	Stevan Ridley	NYJ	  	85	92	88.5	3.5		
96	Bernard Pierce	JAC	  at  TB	86	86	86	0		
97	Jonas Gray	MIA	  	87	96	91.5	4.5		
98	Bobby Rainey	TB	  vs.  JAC	88	88	88	0		
99	Tyler Varga	IND	  at  HOU	91	91	91	0		
100	Taiwan Jones	OAK	  vs.  DEN	92	92	92	0		
101	Jarryd Hayne	SF	  at  NYG	94	103	98.5	4.5		
102	Jordan Todman	PIT	  at  SD	94	94	94	0		
103	Dri Archer	PIT	  at  SD	98	98	98	0		
104	Jay Ajayi	MIA	  	100	100	100	0		
105	Terron Ward	ATL	  vs.  WAS	101	101	101	0		
106	Ka'Deem Carey	CHI	  at  KC	102	102	102	0		
107	Stepfan Taylor	ARI	  at  DET	104	104	104	0		
108	Fozzy Whittaker	CAR	  	105	105	105	0		
109	Montee Ball	FA		106	106	106	0		
