
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
84	Jeremy Langford	CHI	  at  KC	68	76	72.666666666667	3.3993463423952		
85	Charcandrick West	KC	  vs.  CHI	70	84	75	6.3770421565697		
86	Branden Oliver	SD	  vs.  PIT	70	82	77	4.4158804331639		
87	David Cobb	TEN	  vs.  BUF	73	90	81.333333333333	6.9442222186666		
88	Zach Zenner	DET	  vs.  ARI	75	93	83.333333333333	7.4087035902976		
89	Jonathan Grimes	HOU	  vs.  IND	76	91	84.333333333333	6.2360956446232		
90	Zac Stacy	NYJ	  	78	85	81.666666666667	2.8674417556809		
91	Toby Gerhart	JAC	  at  TB	80	90	86.333333333333	4.4969125210773		
92	Juwan Thompson	DEN	  at  OAK	83	83	83	0		
93	Matt Asiata	MIN	  	84	86	85	1		
94	Mike Davis	SF	  at  NYG	84	86	85	1		
95	Stevan Ridley	NYJ	  	85	91	88	3		
96	Bernard Pierce	JAC	  at  TB	85	85	85	0		
97	Jonas Gray	MIA	  	87	96	91.5	4.5		
98	Bobby Rainey	TB	  vs.  JAC	87	87	87	0		
99	Tyler Varga	IND	  at  HOU	88	88	88	0		
100	Taiwan Jones	OAK	  vs.  DEN	92	92	92	0		
101	Jarryd Hayne	SF	  at  NYG	94	101	97.5	3.5		
102	Jordan Todman	PIT	  at  SD	94	94	94	0		
103	Jay Ajayi	MIA	  	98	98	98	0		
104	Dri Archer	PIT	  at  SD	99	99	99	0		
105	Ka'Deem Carey	CHI	  at  KC	102	102	102	0		
106	Terron Ward	ATL	  vs.  WAS	103	103	103	0		
107	Stepfan Taylor	ARI	  at  DET	104	104	104	0		
108	Fozzy Whittaker	CAR	  	105	105	105	0		
109	Montee Ball	FA		106	106	106	0		
