
FantasyPros.com 	 
Week 5 - RB Rankings 	 
Expert Consensus Rankings (ECR) 	 

 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
81	Benny Cunningham	STL	  at  GB	66	80	73.5	6.1032778078669		
82	Marcel Reece	OAK	  vs.  DEN	67	98	80	13.140268896285		
83	Brandon Bolden	NE	  at  DAL	67	76	71.5	4.5		
84	James White	NE	  at  DAL	68	93	83	9.5131487952202		
85	Jacquizz Rodgers	CHI	  at  KC	68	88	78	8.1649658092773		
86	Charcandrick West	KC	  vs.  CHI	70	84	76.333333333333	5.7927157323276		
87	Branden Oliver	SD	  vs.  PIT	71	81	77	3.7416573867739		
88	David Cobb	TEN	  vs.  BUF	72	90	81	7.3484692283495		
89	Zach Zenner	DET	  vs.  ARI	74	91	82.333333333333	6.9442222186666		
90	Zac Stacy	NYJ	  	76	85	81	3.7416573867739		
91	Jonathan Grimes	HOU	  vs.  IND	77	91	84.666666666667	5.7927157323276		
92	Toby Gerhart	JAC	  at  TB	79	90	86	4.9665548085838		
93	Juwan Thompson	DEN	  at  OAK	83	83	83	0		
94	Mike Davis	SF	  at  NYG	84	89	86.5	2.5		
95	Matt Asiata	MIN	  	84	86	85	1		
96	Stevan Ridley	NYJ	  	85	88	86.5	1.5		
97	Tyler Varga	IND	  at  HOU	85	85	85	0		
98	Bernard Pierce	JAC	  at  TB	86	86	86	0		
99	Jonas Gray	MIA	  	87	96	91.5	4.5		
100	Bobby Rainey	TB	  vs.  JAC	87	87	87	0		
101	Taiwan Jones	OAK	  vs.  DEN	92	92	92	0		
102	Jarryd Hayne	SF	  at  NYG	94	99	96.5	2.5		
103	Jordan Todman	PIT	  at  SD	95	95	95	0		
104	Jay Ajayi	MIA	  	97	97	97	0		
105	Dri Archer	PIT	  at  SD	101	101	101	0		
106	Ka'Deem Carey	CHI	  at  KC	102	102	102	0		
107	Terron Ward	ATL	  vs.  WAS	103	103	103	0		
108	Fozzy Whittaker	CAR	  	104	104	104	0		
109	Stepfan Taylor	ARI	  at  DET	105	105	105	0		
110	Montee Ball	FA		107	107	107	0		
